[2025-05-19 22:21:42] ALERT: 2.00ft | ID: b339ae93-3c89-4c01-ab64-9b49890540d0
[2025-05-19 22:21:42] ALERT: 2.00ft | ID: f78f4838-ce4e-4e6c-a840-0bdee6930c7e
[2025-05-20 01:41:32] ALERT: 2.00ft | ID: 99855c4e-39f2-4406-955f-5fe4e9082678
[2025-05-20 01:46:36] ALERT: 2.00ft | ID: 252c4eb6-3d6e-4bf6-81b0-50a15ecfd0be
[2025-05-20 02:03:18] ALERT: 2.00ft | ID: 27b705f8-3466-4bcc-a1fa-49e83812adc3
[2025-05-20 02:05:23] ALERT: 2.00ft | ID: fa3719e0-9a4e-48de-9fef-9244911cf435
[2025-05-20 02:29:22] WARNING ALERT: 2.00ft | ID: 2e5c1c80-423d-4f68-aaff-2313ebb000ee
[2025-05-20 02:29:23] WARNING ALERT: 2.00ft | ID: 32373fbf-deec-4ce6-b6d1-fde646fd9621
[2025-05-20 02:29:26] WARNING ALERT: 2.00ft | ID: 69c0db82-37dc-4df4-bc39-16d890a98988
[2025-05-20 02:29:32] WARNING ALERT: 2.00ft | ID: 9f1a3c47-151d-44ec-93f7-9d3d21b285b3
[2025-05-20 02:29:33] WARNING ALERT: 2.00ft | ID: 7bbb11b9-565a-4ac3-a0f0-47e78b2c2485
[2025-05-20 02:29:36] WARNING ALERT: 2.00ft | ID: 4c3bad88-a04e-4f93-bb9c-68a7e7192ca9
[2025-05-20 02:30:12] WARNING ALERT: 2.00ft | ID: 5d1a2867-d8d0-42ae-ae69-23bf51198d05
[2025-05-20 02:30:18] WARNING ALERT: 2.00ft | ID: c5bf0be1-f7c0-4106-8930-4ff2e7b6ea04
[2025-05-20 02:30:20] WARNING ALERT: 2.00ft | ID: 85ab147b-ce47-4a49-8400-5936e674d9c8
[2025-05-20 02:30:23] SEVERE ALERT: 2.50ft | ID: 18df3ede-37bc-4156-b1f6-db2c69ad9a77
[2025-05-20 02:30:28] SEVERE ALERT: 2.50ft | ID: 7db67e13-d534-423b-a4ad-57276782a3ec
[2025-05-20 02:30:30] SEVERE ALERT: 2.50ft | ID: a9e240ae-a272-4525-b6cd-4b4e454dc794
[2025-05-20 02:30:33] SEVERE ALERT: 2.50ft | ID: 408f60f9-4f8b-4066-a6b5-a15b5bc3dd1d
[2025-05-20 02:35:33] WARNING ALERT: 2.00ft | ID: d13945b7-5a6f-4a66-aa7b-6d761a16efc7
[2025-05-20 02:36:38] WARNING ALERT: 2.00ft | ID: a8ce46b4-1d7a-48ef-81e2-7da37526cb0c
[2025-05-20 02:36:49] WARNING ALERT: 2.00ft | ID: b7e31210-6f0d-491c-bee8-9d21cd860f9d
[2025-05-20 02:36:59] WARNING ALERT: 2.00ft | ID: d2c30b2c-bd89-4c2c-b4b6-4ae5c1b9cfdf
[2025-05-20 02:36:59] WARNING ALERT: 2.00ft | ID: acc74ec3-255a-405a-b775-e45d5108f990
[2025-05-20 02:37:09] WARNING ALERT: 2.00ft | ID: 9eff87ca-8d99-492a-b30d-9c3c9ada8480
[2025-05-20 02:37:09] WARNING ALERT: 2.00ft | ID: 8040aab6-c320-4971-9844-f42f9167889e
[2025-05-20 02:38:00] WARNING ALERT: 2.00ft | ID: d138aa9e-3f0c-4b0d-941a-a74ebc09c3a5
[2025-05-20 02:38:10] WARNING ALERT: 2.00ft | ID: 18cb1d24-675a-48a9-a934-16951b6c574b
[2025-05-20 02:38:10] WARNING ALERT: 2.00ft | ID: b83de8ef-aee1-4c28-b0fd-73aebe4fffd0
[2025-05-20 02:38:40] ALERT: 2.00ft | ID: 36a96f94-0aa9-40cc-b755-6f578814c75d
[2025-05-20 02:38:45] ALERT: 2.00ft | ID: b2b609a3-4207-497f-89c8-491b5aea9ce5
[2025-05-20 02:39:02] ALERT: 2.00ft | ID: d18b5777-aecc-49b7-8e18-49f273567909
[2025-05-20 02:39:22] ALERT: 2.00ft | ID: c45e0ce7-02c8-4869-8b7b-aa26070edf62
[2025-05-20 06:11:33] WARNING ALERT: 2.00ft | ID: f4bfd9ac-ed02-4c12-88dc-84c58f3cc3f4
